PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"11682720","Doctor assisted suicide needs to be discussed","","BMJ. 1998 Jul 18;317(7152):214.","","BMJ","1998","2001/10/30","","",""
"9501725","Outcome of pregnancy in women with insulin dependent diabetes. Rate of congenital malformations is almost certainly gross underestimate","Lowy C.","BMJ. 1998 Feb 14;316(7130):550; author reply 551-2.","Lowy C","BMJ","1998","1998/03/21","PMC2665641","",""
"9501724","Outcome of pregnancy in women with insulin dependent diabetes. Centralisation of care leads to better outcome","Hadden D, Traub A.","BMJ. 1998 Feb 14;316(7130):550; author reply 551-2.","Hadden D","BMJ","1998","1998/03/21","PMC2665665","",""
"9501723","Sample size in cluster randomisation","Kerry SM, Bland JM.","BMJ. 1998 Feb 14;316(7130):549. doi: 10.1136/bmj.316.7130.549.","Kerry SM","BMJ","1998","1998/03/21","PMC2665662","","10.1136/bmj.316.7130.549"
"9501722","Recertification and the maintenance of competence","Bashook PG, Parboosingh J.","BMJ. 1998 Feb 14;316(7130):545-8. doi: 10.1136/bmj.316.7130.545.","Bashook PG","BMJ","1998","1998/03/21","PMC2665656","","10.1136/bmj.316.7130.545"
"9501721","What are quality of life measurements measuring?","Muldoon MF, Barger SD, Flory JD, Manuck SB.","BMJ. 1998 Feb 14;316(7130):542-5. doi: 10.1136/bmj.316.7130.542.","Muldoon MF","BMJ","1998","1998/03/21","PMC2665651","","10.1136/bmj.316.7130.542"
"9501720","Stress and peptic ulcer: life beyond Helicobacter","Levenstein S.","BMJ. 1998 Feb 14;316(7130):538-41. doi: 10.1136/bmj.316.7130.538.","Levenstein S","BMJ","1998","1998/03/21","PMC2665639","","10.1136/bmj.316.7130.538"
"9501719","ABC of allergies. Good allergy practice","Kay AB.","BMJ. 1998 Feb 14;316(7130):535-7. doi: 10.1136/bmj.316.7130.535.","Kay AB","BMJ","1998","1998/03/21","PMC2665650","","10.1136/bmj.316.7130.535"
"9501718","Unusual case of choriocarcinoma occurring 12 months after delivery","Todd A, Newlands E, Palazzo M.","BMJ. 1998 Feb 14;316(7130):532-4. doi: 10.1136/bmj.316.7130.532.","Todd A","BMJ","1998","1998/03/21","PMC2665664","","10.1136/bmj.316.7130.532"
"9501717","Faecal incontinence","Kamm MA.","BMJ. 1998 Feb 14;316(7130):528-32. doi: 10.1136/bmj.316.7130.528.","Kamm MA","BMJ","1998","1998/03/21","PMC2665648","","10.1136/bmj.316.7130.528"
"9501716","The use of out of hours health services: a cross sectional survey","Brogan C, Pickard D, Gray A, Fairman S, Hill A.","BMJ. 1998 Feb 14;316(7130):524-7. doi: 10.1136/bmj.316.7130.524.","Brogan C","BMJ","1998","1998/03/21","PMC2665637","","10.1136/bmj.316.7130.524"
"9501715","Relation of out of hours activity by general practice and accident and emergency services with deprivation in Nottingham: longitudinal survey","Carlisle R, Groom LM, Avery AJ, Boot D, Earwicker S.","BMJ. 1998 Feb 14;316(7130):520-3. doi: 10.1136/bmj.316.7130.520.","Carlisle R","BMJ","1998","1998/03/21","PMC2665670","","10.1136/bmj.316.7130.520"
"9501714","Relation of vagotomy to subsequent risk of lung cancer: population based cohort study","Ekbom A, Lundegårdh G, McLaughlin JK, Nyrén O.","BMJ. 1998 Feb 14;316(7130):518-9. doi: 10.1136/bmj.316.7130.518.","Ekbom A","BMJ","1998","1998/03/21","PMC2665666","","10.1136/bmj.316.7130.518"
"9501713","Winter mortality and cold stress in Yekaterinburg, Russia: interview survey","Donaldson GC, Tchernjavskii VE, Ermakov SP, Bucher K, Keatinge WR.","BMJ. 1998 Feb 14;316(7130):514-8. doi: 10.1136/bmj.316.7130.514.","Donaldson GC","BMJ","1998","1998/03/21","PMC2665668","","10.1136/bmj.316.7130.514"
"9501712","Guidelines on anticoagulant treatment in atrial fibrillation in Great Britain: variation in content and implications for treatment","Thomson R, McElroy H, Sudlow M.","BMJ. 1998 Feb 14;316(7130):509-13. doi: 10.1136/bmj.316.7130.509.","Thomson R","BMJ","1998","1998/03/21","PMC2665660","","10.1136/bmj.316.7130.509"
"9501711","Cross sectional longitudinal study of spot morning urine protein:creatinine ratio, 24 hour urine protein excretion rate, glomerular filtration rate, and end stage renal failure in chronic renal disease in patients without diabetes","Ruggenenti P, Gaspari F, Perna A, Remuzzi G.","BMJ. 1998 Feb 14;316(7130):504-9. doi: 10.1136/bmj.316.7130.504.","Ruggenenti P","BMJ","1998","1998/03/21","PMC2665663","","10.1136/bmj.316.7130.504"
"9501710","Childhood energy intake and adult mortality from cancer: the Boyd Orr Cohort Study","Frankel S, Gunnell DJ, Peters TJ, Maynard M, Davey Smith G.","BMJ. 1998 Feb 14;316(7130):499-504. doi: 10.1136/bmj.316.7130.499.","Frankel S","BMJ","1998","1998/03/21","PMC2665640","","10.1136/bmj.316.7130.499"
"9501709","Cuba shows health gains despite embargo","Chelala C.","BMJ. 1998 Feb 14;316(7130):497. doi: 10.1136/bmj.316.7130.493i.","Chelala C","BMJ","1998","1998/03/21","PMC2665655","","10.1136/bmj.316.7130.493i"
"9501708","Thousands of patients may be being detained illegally","Dyer C.","BMJ. 1998 Feb 14;316(7130):497. doi: 10.1136/bmj.316.7130.493h.","Dyer C","BMJ","1998","1998/03/21","PMC2665642","","10.1136/bmj.316.7130.493h"
"9501707","Philippines passes antismoking laws","Wallerstein C.","BMJ. 1998 Feb 14;316(7130):496. doi: 10.1136/bmj.316.7130.493f.","Wallerstein C","BMJ","1998","1998/03/21","PMC2665659","","10.1136/bmj.316.7130.493f"
"9501706","Germany rejects ban on smoking in public","Goldbeck-Wood S.","BMJ. 1998 Feb 14;316(7130):496. doi: 10.1136/bmj.316.7130.493g.","Goldbeck-Wood S","BMJ","1998","1998/03/21","PMC2665669","","10.1136/bmj.316.7130.493g"
"9501705","Britain's new health policy recognises poverty as major cause of illness","Warden J.","BMJ. 1998 Feb 14;316(7130):495.","Warden J","BMJ","1998","1998/03/21","PMC2665654","",""
"9501704","Drug company merger should benefit research","Labreque G.","BMJ. 1998 Feb 14;316(7130):494. doi: 10.1136/bmj.316.7130.493c.","Labreque G","BMJ","1998","1998/03/21","PMC2665667","","10.1136/bmj.316.7130.493c"
"9501703","China recognises AIDS problem","Tomlinson R.","BMJ. 1998 Feb 14;316(7130):493. doi: 10.1136/bmj.316.7130.493a.","Tomlinson R","BMJ","1998","1998/03/21","PMC2665647","","10.1136/bmj.316.7130.493a"
"9501702","Many NSAID users who bleed don't know when to stop","Herxheimer A.","BMJ. 1998 Feb 14;316(7130):492. doi: 10.1136/bmj.316.7130.492.","Herxheimer A","BMJ","1998","1998/03/21","PMC2665633","","10.1136/bmj.316.7130.492"
"9501701","Imaging pulmonary embolism. A new look with spiral computed tomography","Hansell DM, Flower CD.","BMJ. 1998 Feb 14;316(7130):490-1. doi: 10.1136/bmj.316.7130.490.","Hansell DM","BMJ","1998","1998/03/21","PMC2665658","","10.1136/bmj.316.7130.490"
"9501700","Achieving self sufficiency in blood across Europe","Leikola J.","BMJ. 1998 Feb 14;316(7130):489-90. doi: 10.1136/bmj.316.7130.489.","Leikola J","BMJ","1998","1998/03/21","PMC2665649","","10.1136/bmj.316.7130.489"
"9501699","Recovered memories of childhood sexual abuse","Pope HG Jr.","BMJ. 1998 Feb 14;316(7130):488-9. doi: 10.1136/bmj.316.7130.488.","Pope HG Jr","BMJ","1998","1998/03/21","PMC2665644","","10.1136/bmj.316.7130.488"
"9501698","Our healthier nation","Gabbay J.","BMJ. 1998 Feb 14;316(7130):487-8. doi: 10.1136/bmj.316.7130.487.","Gabbay J","BMJ","1998","1998/03/21","PMC2665661","","10.1136/bmj.316.7130.487"
"9492707","Media are too eager to link silicone to disease","Collis N, Khoo CT, Sharpe DT.","BMJ. 1998 Feb 7;316(7129):477. doi: 10.1136/bmj.316.7129.477.","Collis N","BMJ","1998","1998/03/11","PMC2665606","","10.1136/bmj.316.7129.477"
"9492706","Psychotropic drug treatment. Repeated prescription charges for weekly treatment may be deterrent to patients","Harris T, Smith F.","BMJ. 1998 Feb 7;316(7129):476-7.","Harris T","BMJ","1998","1998/03/11","PMC2665598","",""
"9492705","Psychotropic drug treatment. Some antidepressants are more effective than others","Lenox-Smith A.","BMJ. 1998 Feb 7;316(7129):476; discusson 477. doi: 10.1136/bmj.316.7129.476a.","Lenox-Smith A","BMJ","1998","1998/03/11","PMC2665630","","10.1136/bmj.316.7129.476a"
"9492704","Prescription medicines Code of Practice Authority investigates criticisms of advertisements","Simmonds H.","BMJ. 1998 Feb 7;316(7129):476. doi: 10.1136/bmj.316.7129.476.","Simmonds H","BMJ","1998","1998/03/11","PMC2665590","","10.1136/bmj.316.7129.476"
"9492703","Comparison of assays for measuring plasma paracetamol. Training and education in use of assay are important","FitzPatrick R, Hassan T, Ward V, Bodiwala G.","BMJ. 1998 Feb 7;316(7129):475-6.","FitzPatrick R","BMJ","1998","1998/03/11","PMC2665579","",""
"9492702","Comparison of assays for measuring plasma paracetamol. Possibility of calibration error needs evaluation","Jones AL, Jarvie DR, Simpson D, Prescott LF.","BMJ. 1998 Feb 7;316(7129):475. doi: 10.1136/bmj.316.7129.475a.","Jones AL","BMJ","1998","1998/03/11","PMC2665592","","10.1136/bmj.316.7129.475a"
"9492701","British trial of transmyocardial revascularisation is continuing","Caine N, Schofield PM, Wallwork J, Sharples LD.","BMJ. 1998 Feb 7;316(7129):474-5. doi: 10.1136/bmj.316.7129.475.","Caine N","BMJ","1998","1998/03/11","PMC2665597","","10.1136/bmj.316.7129.475"
"9492700","Adding methionine to every paracetamol tablet. Plan is needed for way in which paracetamol and other analgesics are sold","McLean AE.","BMJ. 1998 Feb 7;316(7129):474.","McLean AE","BMJ","1998","1998/03/11","PMC2665620","",""
"9492699","Adding methionine to every paracetamol tablet. Drugs as important as paracetamol in developing countries should not be tainted","Chada N.","BMJ. 1998 Feb 7;316(7129):474.","Chada N","BMJ","1998","1998/03/11","PMC2665591","",""
"9492698","Adding methionine to way paracetamol tablet. Methionine is important in treatment of chronic pancreatitis","Leach FN, Braganza JM.","BMJ. 1998 Feb 7;316(7129):474.","Leach FN","BMJ","1998","1998/03/11","PMC2665599","",""
"9492697","Adding methionine to every paracetamol tablet. Paracetamol overdose is so rare in India that adding methionine would be wrong","Saha SK, Kale R.","BMJ. 1998 Feb 7;316(7129):473-4. doi: 10.1136/bmj.316.7129.473b.","Saha SK","BMJ","1998","1998/03/11","PMC2665623","","10.1136/bmj.316.7129.473b"
"9492696","UK encourages unrealistic expectations among overseas applicants for training","Sridhar MK.","BMJ. 1998 Feb 7;316(7129):473. doi: 10.1136/bmj.316.7129.473a.","Sridhar MK","BMJ","1998","1998/03/11","PMC2665621","","10.1136/bmj.316.7129.473a"
"9492695","Under half of senior house officers in Anglia in 1997 were United Kingdom graduates","Biggs J.","BMJ. 1998 Feb 7;316(7129):473. doi: 10.1136/bmj.316.7129.473.","Biggs J","BMJ","1998","1998/03/11","PMC2665596","","10.1136/bmj.316.7129.473"
"9492694","Electronic record linkage to create diabetes registers. Registers constructed from primary care databases have advantages","Whitford DL, Roberts SH.","BMJ. 1998 Feb 7;316(7129):472-3.","Whitford DL","BMJ","1998","1998/03/11","PMC2665574","",""
"9492693","Electronic record linkage to create diabetes registers. Non-insulin dependent diabetes is being missed","Treweek S, Condie E, Gilmour D.","BMJ. 1998 Feb 7;316(7129):472.","Treweek S","BMJ","1998","1998/03/11","PMC2665575","",""
"9492692","Electronic record linkage to create diabetes registers. Impressive results can be obtained without record linkage","Leslie PJ, McDonald S, McDonald IA.","BMJ. 1998 Feb 7;316(7129):472.","Leslie PJ","BMJ","1998","1998/03/11","PMC2665631","",""
"9492691","British renal registry is fully electronic","Ansell D, Feest T, Wallis J.","BMJ. 1998 Feb 7;316(7129):471-2. doi: 10.1136/bmj.316.7129.472.","Ansell D","BMJ","1998","1998/03/11","PMC2665577","","10.1136/bmj.316.7129.472"
"9492690","Bias in meta-analysis detected by a simple, graphical test. Increase in studies of publication bias coincided with increasing use of meta-analysis","Song F, Gilbody S.","BMJ. 1998 Feb 7;316(7129):471.","Song F","BMJ","1998","1998/03/11","PMC2665616","",""
"9492689","Bias in meta-analysis detected by a simple, graphical test. Prospectively identified trials could be used for comparison with meta-analyses","Langhorne P.","BMJ. 1998 Feb 7;316(7129):471.","Langhorne P","BMJ","1998","1998/03/11","PMC2665593","",""
"9492688","Bias in meta-analysis detected by a simple, graphical test. Test had 10% false positive rate","Seagroatt V, Stratton I.","BMJ. 1998 Feb 7;316(7129):470; author reply 470-1.","Seagroatt V","BMJ","1998","1998/03/11","PMC2665628","",""
"9492687","Bias in meta-analysis detected by a simple, graphical test. Graphical test is itself biased","Irwig L, Macaskill P, Berry G, Glasziou P.","BMJ. 1998 Feb 7;316(7129):470; author reply 470-1.","Irwig L","BMJ","1998","1998/03/11","PMC2665595","",""
"9492686","Bias in meta-analysis detected by a simple, graphical test. Experts' views are still needed","Vandenbroucke JP.","BMJ. 1998 Feb 7;316(7129):469-70; author reply 470-1.","Vandenbroucke JP","BMJ","1998","1998/03/11","PMC2665608","",""
"9492685","Bias in meta-analysis detected by a simple, graphical test. Asymmetry detected in funnel plot was probably due to true heterogeneity","Stuck AE, Rubenstein LZ, Wieland D.","BMJ. 1998 Feb 7;316(7129):469; author reply 470-1.","Stuck AE","BMJ","1998","1998/03/11","PMC2665578","",""
"9492684","Learning and change: implications for continuing medical education","Fox RD, Bennett NL.","BMJ. 1998 Feb 7;316(7129):466-8. doi: 10.1136/bmj.316.7129.466.","Fox RD","BMJ","1998","1998/03/11","PMC2665605","","10.1136/bmj.316.7129.466"
"9492683","Lay perspectives: advantages for health research","Entwistle VA, Renfrew MJ, Yearley S, Forrester J, Lamont T.","BMJ. 1998 Feb 7;316(7129):463-6. doi: 10.1136/bmj.316.7129.463.","Entwistle VA","BMJ","1998","1998/03/11","PMC2665609","","10.1136/bmj.316.7129.463"
"9492682","Should doctors reconstruct the vaginal introitus of adolescent girls to mimic the virginal state? Surgery is not what it seems","Ross LF.","BMJ. 1998 Feb 7;316(7129):462. doi: 10.1136/bmj.316.7129.462a.","Ross LF","BMJ","1998","1998/03/11","PMC2665588","","10.1136/bmj.316.7129.462a"
"9492681","Should doctors reconstruct the vaginal introitus of adolescent girls to mimic the virginal state? Cultural complexities should not be ignored","Webb E.","BMJ. 1998 Feb 7;316(7129):462. doi: 10.1136/bmj.316.7129.462.","Webb E","BMJ","1998","1998/03/11","PMC2665625","","10.1136/bmj.316.7129.462"
"9492680","Should doctors reconstruct the vaginal introitus of adolescent girls to mimic the virginal state? Education about the hymen is needed","Paterson-Brown S.","BMJ. 1998 Feb 7;316(7129):461. doi: 10.1136/bmj.316.7129.461.","Paterson-Brown S","BMJ","1998","1998/03/11","PMC2665576","","10.1136/bmj.316.7129.461"
"9492679","Should doctors reconstruct the vaginal introitus of adolescent girls to mimic the virginal state? Promiscuity is acceptable only for men","Bhugra D.","BMJ. 1998 Feb 7;316(7129):460-1. doi: 10.1136/bmj.316.7129.460a.","Bhugra D","BMJ","1998","1998/03/11","PMC2665614","","10.1136/bmj.316.7129.460a"
"9492678","Should doctors reconstruct the vaginal introitus of adolescent girls to mimic the virginal state? Who wants the procedure and why","Logmans A, Verhoeff A, Raap RB, Creighton F, van Lent M.","BMJ. 1998 Feb 7;316(7129):459-60. doi: 10.1136/bmj.316.7129.459.","Logmans A","BMJ","1998","1998/03/11","PMC2665622","","10.1136/bmj.316.7129.459"
"9492677","ABC of palliative care. Bereavement","Sheldon F.","BMJ. 1998 Feb 7;316(7129):456-8. doi: 10.1136/bmj.316.7129.456.","Sheldon F","BMJ","1998","1998/03/11","PMC2665627","","10.1136/bmj.316.7129.456"
"9492676","Pneumatic compression boots for prophylaxis against deep vein thrombosis: beware occult arterial disease","Oakley MJ, Wheelwright EF, James PJ.","BMJ. 1998 Feb 7;316(7129):454-5. doi: 10.1136/bmj.316.7129.454.","Oakley MJ","BMJ","1998","1998/03/11","PMC2665615","","10.1136/bmj.316.7129.454"
"9492675","Mycobacterium paratuberculosis cervical lymphadenitis, followed five years later by terminal ileitis similar to Crohn's disease","Hermon-Taylor J, Barnes N, Clarke C, Finlayson C.","BMJ. 1998 Feb 7;316(7129):449-53. doi: 10.1136/bmj.316.7129.449.","Hermon-Taylor J","BMJ","1998","1998/03/11","PMC2665583","","10.1136/bmj.316.7129.449"
"9492674","Alzheimer's disease","Masters CL, Beyreuther K.","BMJ. 1998 Feb 7;316(7129):446-8. doi: 10.1136/bmj.316.7129.446.","Masters CL","BMJ","1998","1998/03/11","PMC2665603","","10.1136/bmj.316.7129.446"
"9492673","Qualitative study of educational interaction between general practitioners and specialists","Marshall MN.","BMJ. 1998 Feb 7;316(7129):442-5. doi: 10.1136/bmj.316.7129.442.","Marshall MN","BMJ","1998","1998/03/11","PMC2665624","","10.1136/bmj.316.7129.442"
"9492672","Nortriptyline intoxication induced by terbinafine","van der Kuy PH, Hooymans PM.","BMJ. 1998 Feb 7;316(7129):441. doi: 10.1136/bmj.316.7129.441.","van der Kuy PH","BMJ","1998","1998/03/11","PMC2665601","","10.1136/bmj.316.7129.441"
"9492671","Parotid swelling and terbinafine","Torrens JK, McWhinney PH.","BMJ. 1998 Feb 7;316(7129):440-1. doi: 10.1136/bmj.316.7129.440a.","Torrens JK","BMJ","1998","1998/03/11","PMC2665612","","10.1136/bmj.316.7129.440a"
"9492670","Serious interaction between warfarin and oral terbinafine","Warwick JA, Corrall RJ.","BMJ. 1998 Feb 7;316(7129):440. doi: 10.1136/bmj.316.7129.440.","Warwick JA","BMJ","1998","1998/03/11","PMC2665587","","10.1136/bmj.316.7129.440"
"9492669","Raynaud's phenomenon after sympathetic denervation in patients with primary autonomic failure: questionnaire survey","Mallipeddi R, Mathias CJ.","BMJ. 1998 Feb 7;316(7129):438-9. doi: 10.1136/bmj.316.7129.438.","Mallipeddi R","BMJ","1998","1998/03/11","PMC2665585","","10.1136/bmj.316.7129.438"
"9492668","Is the emergency (999) service being misused? Retrospective analysis","Mann C, Guly H.","BMJ. 1998 Feb 7;316(7129):437-8. doi: 10.1136/bmj.316.7129.437.","Mann C","BMJ","1998","1998/03/11","PMC2665619","","10.1136/bmj.316.7129.437"
"9492667","Evaluation of reagent strips in detecting asymptomatic bacteriuria in early pregnancy: prospective case series","Tincello DG, Richmond DH.","BMJ. 1998 Feb 7;316(7129):435-7. doi: 10.1136/bmj.316.7129.435.","Tincello DG","BMJ","1998","1998/03/11","PMC2665586","","10.1136/bmj.316.7129.435"
"9492666","Evaluation of adjuvant psychological therapy in patients with testicular cancer: randomised controlled trial","Moynihan C, Bliss JM, Davidson J, Burchell L, Horwich A.","BMJ. 1998 Feb 7;316(7129):429-35. doi: 10.1136/bmj.316.7129.429.","Moynihan C","BMJ","1998","1998/03/11","PMC2665582","","10.1136/bmj.316.7129.429"
"9492665","Mortality from overdose among injecting drug users recently released from prison: database linkage study","Seaman SR, Brettle RP, Gore SM.","BMJ. 1998 Feb 7;316(7129):426-8. doi: 10.1136/bmj.316.7129.426.","Seaman SR","BMJ","1998","1998/03/11","PMC2665604","","10.1136/bmj.316.7129.426"
"9492664","Single dose vitamin A treatment in acute shigellosis in Bangladesh children: randomised double blind controlled trial","Hossain S, Biswas R, Kabir I, Sarker S, Dibley M, Fuchs G, Mahalanabis D.","BMJ. 1998 Feb 7;316(7129):422-6. doi: 10.1136/bmj.316.7129.422.","Hossain S","BMJ","1998","1998/03/11","PMC2665602","","10.1136/bmj.316.7129.422"
"9492663","Risk of connective tissue disease and related disorders among women with breast implants: a nation-wide retrospective cohort study in Sweden","Nyrén O, Yin L, Josefsson S, McLaughlin JK, Blot WJ, Engqvist M, Hakelius L, Boice JD Jr, Adami HO.","BMJ. 1998 Feb 7;316(7129):417-22. doi: 10.1136/bmj.316.7129.417.","Nyrén O","BMJ","1998","1998/03/11","PMC2665629","","10.1136/bmj.316.7129.417"
"9492662","Food is a public health issue","James P.","BMJ. 1998 Feb 7;316(7129):416.","James P","BMJ","1998","1998/03/11","PMC2665589","",""
"9492661","France has more early deaths than Britain","Wise J.","BMJ. 1998 Feb 7;316(7129):415. doi: 10.1136/bmj.316.7129.411j.","Wise J","BMJ","1998","1998/03/11","PMC2665607","","10.1136/bmj.316.7129.411j"
"9492660","Health features prominently in the State of the Union address","Rutter T.","BMJ. 1998 Feb 7;316(7129):415. doi: 10.1136/bmj.316.7129.411h.","Rutter T","BMJ","1998","1998/03/11","PMC2665600","","10.1136/bmj.316.7129.411h"
"9492659","Cardiac services to expand in Ireland","Payne D.","BMJ. 1998 Feb 7;316(7129):414. doi: 10.1136/bmj.316.7129.411g.","Payne D","BMJ","1998","1998/03/11","PMC2665580","","10.1136/bmj.316.7129.411g"
"9492658","India approves leprosy vaccine","Mudur G.","BMJ. 1998 Feb 7;316(7129):414. doi: 10.1136/bmj.316.7129.411f.","Mudur G","BMJ","1998","1998/03/11","PMC2665617","","10.1136/bmj.316.7129.411f"
"9492656","UK ""drink drive"" limit may be cut","Warden J.","BMJ. 1998 Feb 7;316(7129):411. doi: 10.1136/bmj.316.7129.411a.","Warden J","BMJ","1998","1998/03/11","PMC2665584","","10.1136/bmj.316.7129.411a"
"9492655","Public consultation on human cloning launched","Bower H.","BMJ. 1998 Feb 7;316(7129):411. doi: 10.1136/bmj.316.7129.411.","Bower H","BMJ","1998","1998/03/11","PMC2665613","","10.1136/bmj.316.7129.411"
"9492654","Rationing health care","Weale A.","BMJ. 1998 Feb 7;316(7129):410. doi: 10.1136/bmj.316.7129.410.","Weale A","BMJ","1998","1998/03/11","PMC2665626","","10.1136/bmj.316.7129.410"
"9492653","Providing primary care in the accident and emergency department","Robertson-Steel IR.","BMJ. 1998 Feb 7;316(7129):409-10. doi: 10.1136/bmj.316.7129.409.","Robertson-Steel IR","BMJ","1998","1998/03/11","PMC2665581","","10.1136/bmj.316.7129.409"
"9492652","Caring for patients with chronic leg ulcer","Ruckley CV.","BMJ. 1998 Feb 7;316(7129):407-8. doi: 10.1136/bmj.316.7129.407.","Ruckley CV","BMJ","1998","1998/03/11","PMC2665573","","10.1136/bmj.316.7129.407"
"9492651","Turbulent future for school nursing and health visiting","Billingham K, Hall D.","BMJ. 1998 Feb 7;316(7129):406-7. doi: 10.1136/bmj.316.7129.406.","Billingham K","BMJ","1998","1998/03/11","PMC2665610","","10.1136/bmj.316.7129.406"
"9492650","Missed problems and missed opportunities for addicted doctors","Strang J, Wilks M, Wells B, Marshall J.","BMJ. 1998 Feb 7;316(7129):405-6. doi: 10.1136/bmj.316.7129.405.","Strang J","BMJ","1998","1998/03/11","PMC2665618","","10.1136/bmj.316.7129.405"
"9492649","Neonatal screening for cystic fibrosis","Wald NJ, Morris JK.","BMJ. 1998 Feb 7;316(7129):404-5. doi: 10.1136/bmj.316.7129.404.","Wald NJ","BMJ","1998","1998/03/11","PMC2665594","","10.1136/bmj.316.7129.404"
"9492648","Do silicone breast implants cause connective tissue disease?","Cooper C, Dennison E.","BMJ. 1998 Feb 7;316(7129):403-4. doi: 10.1136/bmj.316.7129.403.","Cooper C","BMJ","1998","1998/03/11","PMC2665611","","10.1136/bmj.316.7129.403"
"9490125","First myocardial infarction in patients of Indian subcontinent and European origin: comparison of risk factors, management, and long term outcome","Shaukat N, Lear J, Lowy A, Fletcher S, de Bono DP, Woods KL.","BMJ. 1998 Jan 10;316(7125):116.","Shaukat N","BMJ","1998","1998/03/07","PMC2665407","",""
"9487203","Consent for transfusion. Blood is dangerous","Cocks RA.","BMJ. 1998 Jan 31;316(7128):397.","Cocks RA","BMJ","1998","1998/03/06","PMC2665571","",""
"9487202","Consent for transfusion. Many transfusions are initiated by anaesthetists","Cray SH.","BMJ. 1998 Jan 31;316(7128):397.","Cray SH","BMJ","1998","1998/03/06","PMC2665561","",""
"9487201","Consent for transfusion. Leaflet on risks is available","Hewitt PE, de Silva M.","BMJ. 1998 Jan 31;316(7128):397. doi: 10.1136/bmj.316.7128.397.","Hewitt PE","BMJ","1998","1998/03/06","PMC2665552","","10.1136/bmj.316.7128.397"
"9487200","Corticosteroids in acute traumatic brain injury","Newell DW, Temkin NR, Bullock R, Choi S.","BMJ. 1998 Jan 31;316(7128):396.","Newell DW","BMJ","1998","1998/03/06","PMC2665529","",""
"9487199","Managing pain in hospital. Only one fifth of A&E departments were found to have pain control policy for children","Simpson N, Finlay F.","BMJ. 1998 Jan 31;316(7128):396.","Simpson N","BMJ","1998","1998/03/06","PMC2665547","",""
"9487198","Managing pain in hospital. Protocol must not take precedence over clinical judgment and compassion","Lloyd EL.","BMJ. 1998 Jan 31;316(7128):395. doi: 10.1136/bmj.316.7128.395b.","Lloyd EL","BMJ","1998","1998/03/06","PMC2665555","","10.1136/bmj.316.7128.395b"
"9487197","Agencies need to work together on general practitioner staffing","Leigh M.","BMJ. 1998 Jan 31;316(7128):395. doi: 10.1136/bmj.316.7128.395a.","Leigh M","BMJ","1998","1998/03/06","PMC2665533","","10.1136/bmj.316.7128.395a"
"9487196","The anguish of teenage mental illness","Clark A, Bhatt A, Gilchrist A.","BMJ. 1998 Jan 31;316(7128):394-5. doi: 10.1136/bmj.316.7128.395.","Clark A","BMJ","1998","1998/03/06","PMC2665564","","10.1136/bmj.316.7128.395"
"9487195","Enhancing patients' compliance. Financial inducements are equivalent to coercion","Raffle AE, Morgan K.","BMJ. 1998 Jan 31;316(7128):394.","Raffle AE","BMJ","1998","1998/03/06","PMC2665569","",""
"9487194","Enhancing patients' compliance. Electronic monitoring approaches should be more widely used","Meredith PA.","BMJ. 1998 Jan 31;316(7128):393-4; author reply 394. doi: 10.1136/bmj.316.7128.393b.","Meredith PA","BMJ","1998","1998/03/06","PMC2665565","","10.1136/bmj.316.7128.393b"
"9487193","Timing of initiation of induction of labour can affect out of hours work","Matijevic R, Johnston TA, Maxwell R.","BMJ. 1998 Jan 31;316(7128):393. doi: 10.1136/bmj.316.7128.393a.","Matijevic R","BMJ","1998","1998/03/06","PMC2665556","","10.1136/bmj.316.7128.393a"
"9487192","Two actions are possible for doctors wanting to promote human welfare in Africa","Johnson G.","BMJ. 1998 Jan 31;316(7128):393. doi: 10.1136/bmj.316.7128.393.","Johnson G","BMJ","1998","1998/03/06","PMC2665546","","10.1136/bmj.316.7128.393"
"9487191","Informed consent in medical research: the ethics committee's view","Barker EM.","BMJ. 1998 Jan 31;316(7128):392-3. doi: 10.1136/bmj.316.7128.392b.","Barker EM","BMJ","1998","1998/03/06","PMC2665538","","10.1136/bmj.316.7128.392b"
"9487190","Profiting from closure. Birmingham's consultation document is not a private finance initiative","Langman MJ.","BMJ. 1998 Jan 31;316(7128):392. doi: 10.1136/bmj.316.7128.392a.","Langman MJ","BMJ","1998","1998/03/06","PMC2665524","","10.1136/bmj.316.7128.392a"
"9487189","Childhood insulin dependent diabetes: Oxford may not be representative","Rangasami JJ, Greenwood DC, McSporran B, Smail PJ, Patterson CC, Waugh NR.","BMJ. 1998 Jan 31;316(7128):391-2. doi: 10.1136/bmj.316.7128.392.","Rangasami JJ","BMJ","1998","1998/03/06","PMC2665544","","10.1136/bmj.316.7128.392"
"9487188","Patient's sex does not affect use of thrombolysis","Raine R, Crayford T, Chambers J.","BMJ. 1998 Jan 31;316(7128):391.","Raine R","BMJ","1998","1998/03/06","PMC2665559","",""
"9487187","More openness needed in palliative care. Doctrine of double effect means that death is not intended","Thorns A.","BMJ. 1998 Jan 31;316(7128):391.","Thorns A","BMJ","1998","1998/03/06","PMC2665536","",""
"9487186","More openness needed in palliative care. Wider debate is needed about decisions made in care at end of patients' lives","Edmonds P, Davies A.","BMJ. 1998 Jan 31;316(7128):390-1.","Edmonds P","BMJ","1998","1998/03/06","PMC2665548","",""
